lambda,L,perplexity,C,J
0.0,3.645433235168457,38.29936188832092,0.0118,3.657233235168457
0.1,3.5517650842666626,34.87482018932755,0.0162,3.5679650842666626
0.2,3.521458148956299,33.8337271266152,0.0162,3.537658148956299
0.3,3.5041279713312785,33.252434129721266,0.0162,3.5203279713312785
0.4,3.4949934482574463,32.95007207190807,0.0162,3.5111934482574463
0.5,3.4923726002375286,32.86382800642281,0.0162,3.5085726002375286
0.6,3.49574761390686,32.97493125720397,0.0162,3.51194761390686
0.7,3.505382029215495,33.29416076525068,0.0162,3.521582029215495
0.8,3.5224943081537883,33.86880242282003,0.0162,3.5386943081537883
0.9,3.550416652361552,34.82782556074828,0.0162,3.566616652361552
1.0,3.6075755914052325,36.8765405496604,0.0044,3.6119755914052325
